日期,代码,名称,换手率,成交额,流通市值,首次封板时间,最后封板时间,涨跌幅,炸板次数,是否炸板,封板资金,所属行业,涨停原因类别
20250919,002222,福晶科技,13.261273384094238,3054757088,23627617005.579998,101730,145424,10.004359245300293,2,是,,光学光电,
20250919,002460,赣锋锂业,12.61994743347168,7897773312,63797887325.74,102112,134315,9.995835304260254,6,是,,能源金属,
20250919,002796,世嘉科技,13.441930770874023,612416112,4788854969.259999,103145,103145,10.005184173583984,0,否,,专用设备,
20250919,300993,玉马科技,15.555231094360352,713426880,4878489985.5,103621,103621,20.023696899414062,0,否,,家用轻工,
20250919,301043,绿岛风,9.612601280212402,238164832,2624583437.5,103942,103942,20.00518798828125,0,否,,专用设备,
20250919,001330,博纳影业,6.287222862243652,403655280,6659293618.75,105006,105006,10.035211563110352,0,否,,文化传媒,
20250919,002154,报 喜 鸟,27.389358520507812,1448451312,5521335665.04,105648,145551,10.117647171020508,1,是,,纺织服装,
20250919,002739,万达电影,6.717832565307617,1740491280,26735528189.940002,110006,112245,10.04291820526123,1,是,,文化传媒,
20250919,002564,天沃科技,11.508724212646484,880800912,7781674561.620001,110703,145651,9.951457023620605,6,是,,专业服务,
20250919,002785,万里石,15.690828323364258,923697248,6044784518.5199995,111051,111051,10.0,0,否,,装修建材,
20250919,603219,富佳股份,5.9930315017700195,727622656,12592202000.0,112115,145551,10.004903793334961,1,是,,家电行业,
20250919,603956,威派格,17.569419860839844,714922432,4183112139.24,112803,144709,10.044978141784668,2,是,,专用设备,
20250919,605068,明新旭腾,4.4562249183654785,245518294,5653867828.4,130916,130916,10.0,0,否,,汽车零部,
20250919,603978,深圳新星,11.39134693145752,521452224,4758065499.46,131011,131011,10.00487995147705,0,否,,有色金属,
20250919,000978,桂林旅游,13.413585662841797,456430480,3595152000.0,132212,132212,10.028653144836426,0,否,,旅游酒店,
20250919,603863,松炀资源,11.859943389892578,561330736,4884995500.0,133626,133626,10.0,0,否,,造纸印刷,
20250919,002052,同洲电子,8.80789852142334,896341648,10630349930.1,135257,135257,9.985734939575195,0,否,,家电行业,
20250919,001221,悍高集团,30.728532791137695,627507040,2140182306.88,141039,143527,9.998205184936523,3,是,,家用轻工,
20250919,301379,天山电子,28.461423873901367,998474512,3741609954.6,141227,141227,19.983753204345703,0,否,,光学光电,
20250919,000014,沙河股份,10.329509735107422,434069008,4465752832.8,144136,144524,10.017889022827148,3,是,,房地产开,
20250919,603036,如通股份,6.487916946411133,281896864,4657796225.25,145353,145353,10.024331092834473,0,否,,专用设备,
20250922,002402,和而泰,1.0499671697616577,424486864,40428582559.91,092500,092500,9.997807502746582,0,否,,消费电子,
20250922,300111,向日葵,1.7056400775909424,130633333,7658903748.3,092500,092500,19.959678649902344,0,否,,化学制药,
20250922,002298,中电鑫龙,12.33905029296875,887496608,7194516745.68,092500,093418,10.0,2,是,,电网设备,
20250922,600167,联美控股,0.2901436984539032,52129983,17966953276.22,092502,092502,9.972298622131348,0,否,,公用事业,
20250922,002925,盈趣科技,1.4511280059814453,208952393,14399576955.96,093000,093000,10.011248588562012,0,否,,消费电子,
20250922,002475,立讯精密,1.247146725654602,5501600768,441209229932.15,093009,093009,9.99819564819336,0,否,,消费电子,
20250922,002065,东华软件,7.842410087585449,2575183904,32946752283.170002,093203,095527,10.0,2,是,,软件开发,
20250922,002045,国光电器,6.362479209899902,625964416,9938823682.58,093206,093206,10.01243782043457,0,否,,消费电子,
20250922,603239,浙江仙通,2.5037307739257812,134858630,5476665600.0,093249,093249,10.005437850952148,0,否,,汽车零部,
20250922,002849,威星智能,24.077342987060547,766651712,3201603472.7999997,093254,132924,9.973404884338379,9,是,,仪器仪表,
20250922,603269,海鸥股份,6.925813674926758,286909552,4239161774.6400003,093408,093408,10.01602554321289,0,否,,通用设备,
20250922,002662,峰璟股份,3.4406607151031494,213567382,6284920809.000001,093551,093551,9.973752975463867,0,否,,汽车零部,
20250922,600182,S佳通,4.989953517913818,134409584,2703000000.0,093608,150000,5.019814968109131,7,是,,橡胶制品,
20250922,600635,大众公用,9.822820663452148,1294868432,13327542129.25,093627,100518,9.980039596557617,3,是,,燃气,
20250922,603215,比依股份,4.784992218017578,201844664,4283785334.3999996,093715,093715,10.0,0,否,,家电行业,
20250922,603322,超讯通信,16.15692901611328,1169501520,7304147994.6,093813,100501,9.990508079528809,2,是,,通信服务,
20250922,300250,初灵信息,34.238670349121094,1160125472,3454654802.27,093848,095800,19.989046096801758,5,是,,互联网服,
20250922,002239,奥特佳,5.579904556274414,635035936,11642904529.46,094233,094233,10.122699737548828,0,否,,汽车零部,
20250922,603286,日盈电子,5.163461208343506,249232448,4954758694.83,094326,094326,9.992313385009766,0,否,,汽车零部,
20250922,688330,宏力达,9.567214012145996,534730624,5703600000.0,094337,101737,20.0,5,是,,电网设备,
20250922,603633,徕木股份,8.208853721618652,459696624,5706460636.66,094518,100942,10.041152000427246,1,是,,汽车零部,
20250922,000727,冠捷科技,11.17866325378418,1514624976,13905770628.599998,094645,133357,10.035842895507812,2,是,,光学光电,
20250922,002837,英维克,7.170814514160156,4837297408,68996829834.56,095609,095609,9.994626998901367,0,否,,专用设备,
20250922,002513,蓝丰生化,9.768562316894531,147469073,1554048067.76,095803,095803,9.94371509552002,0,否,,农药兽药,
20250922,002145,中核钛白,10.435294151306152,2232079872,21776617671.76,100218,145400,9.98116683959961,1,是,,化学原料,
20250922,000981,山子高科,17.320466995239258,6803976448,40526896956.18,100257,100257,10.077519416809082,0,否,,汽车零部,
20250922,600797,浙大网新,19.801837921142578,2327524336,11909030628.3,100453,102129,9.96204948425293,6,是,,互联网服,
20250922,600857,宁波中百,5.018416404724121,161752802,3306475606.06,100607,101146,10.0,1,是,,商业百货,
20250922,002249,大洋电机,13.02662181854248,2457855280,19451179566.390003,101324,103257,10.041407585144043,6,是,,电机,
20250922,301086,鸿富瀚,11.902897834777832,423667296,3753928220.9,101736,101736,20.006053924560547,0,否,,消费电子,
20250922,300539,横河精密,13.570391654968262,1077854608,8364546491.999999,101815,101815,20.0,0,否,,塑料制品,
20250922,002276,万马股份,13.177176475524902,2641861696,20719248123.97,102409,102409,10.0,0,否,,电网设备,
20250922,002654,万润科技,22.417577743530273,2920178576,13371737046.08,103006,105645,10.013908386230469,1,是,,文化传媒,
20250922,002957,科瑞技术,6.1477861404418945,501654960,8380720783.379999,103233,103233,10.016510963439941,0,否,,专用设备,
20250922,603429,集友股份,3.8736135959625244,251711784,6781597062.45,103607,103607,10.042552947998047,0,否,,造纸印刷,
20250922,002938,鹏鼎控股,2.1023049354553223,2978153376,146365302227.85,104633,140827,10.003467559814453,2,是,,电子元件,
20250922,605100,华丰股份,4.850337982177734,216642720,4610255160.0,105513,105513,10.016221046447754,0,否,,通用设备,
20250922,600375,汉马科技,15.071915626525879,1279200720,8755870368.0,110016,143719,9.972677230834961,1,是,,汽车整车,
20250922,002718,友邦吊顶,11.140636444091797,159905440,1512662675.3,110727,110727,9.983566284179688,0,否,,装修建材,
20250922,600105,永鼎股份,13.230222702026367,2060098176,16081942822.0,130138,132153,10.0,2,是,,通信设备,
20250922,002980,华盛昌,10.023177146911621,252452965,2583666914.3999996,130633,130633,10.0,0,否,,仪器仪表,
20250922,002006,精工科技,12.904227256774902,1469918544,11705748268.8,130730,145345,10.014655113220215,1,是,,专用设备,
20250922,603019,中科曙光,8.229198455810547,13812468992,171882683588.64,130751,142136,9.9971923828125,3,是,,计算机设,
20250922,002716,湖南白银,14.424083709716797,2110181200,14920733844.0,134233,134233,9.934853553771973,0,否,,贵金属,
20250922,605488,福莱新材,8.403030395507812,903071760,11244562906.0,134806,134806,9.99183177947998,0,否,,塑料制品,
20250922,000509,华塑控股,7.803835868835449,285544608,3734474331.84,135918,145657,10.126582145690918,8,是,,光学光电,
20250922,600376,首开股份,17.523223876953125,3388180128,20610726283.58,141043,142958,10.055096626281738,11,是,,房地产开,
20250922,301319,唯特偶,26.14752960205078,632971296,2551645567.2,143403,143403,19.98859405517578,0,否,,电子元件,
20250922,603226,菲林格尔,2.231259346008301,238719421,11180216166.5,143817,143817,10.003497123718262,0,否,,装修建材,
20250922,603011,合锻智能,20.298187255859375,1803518304,9225773394.42,144025,144025,10.023585319519043,0,否,,专用设备,
20250922,300836,佰奥智能,14.888298034667969,486394736,3565666905.1699996,144254,144254,19.995746612548828,0,否,,专用设备,
20250922,688332,中科蓝讯,24.46832847595215,1447927248,6196032556.82,144539,144539,19.996566772460938,0,否,,半导体,
20250922,000603,盛达资源,6.115911960601807,882309168,14867774805.7,145333,145333,10.014800071716309,0,否,,有色金属,
20250922,300115,长盈精密,19.239429473876953,8974748416,51163567178.4,145436,145436,20.012727737426758,0,否,,消费电子,
20250923,300604,长川科技,10.922924041748047,4240697120,38975955382.25,092500,094612,20.002988815307617,1,是,,半导体,
20250923,002515,金字火腿,21.238065719604492,2012825504,9503207440.9,092500,101821,9.943977355957031,10,是,,食品饮料,
20250923,600416,湘电股份,4.277032852172852,928434224,21749919762.45,092503,093854,9.986595153808594,2,是,,电机,
20250923,600159,大龙地产,7.356344699859619,199790962,2772210794.88,093126,093126,9.86842155456543,0,否,,房地产开,
20250923,603090,宏盛股份,11.50182819366455,541406688,4725000000.0,093246,141752,10.011641502380371,14,是,,通用设备,
20250923,603030,全筑股份,5.1287641525268555,227796861,4517081973.6,093255,093255,9.935897827148438,0,否,,装修装饰,
20250923,603316,诚邦股份,6.6866888999938965,221359648,3342939600.0,093303,093303,10.0,0,否,,工程建设,
20250923,600337,美克家居,5.021988391876221,170774602,3506275454.2799997,093313,093313,9.909910202026367,0,否,,装修建材,
20250923,002060,广东建工,7.478002071380615,481358880,6501308985.6,093321,093321,10.052909851074219,0,否,,工程建设,
20250923,603035,常熟汽饰,14.754650115966797,951023984,6469689432.8,093408,150000,10.031152725219727,21,是,,汽车零部,
20250923,603166,福达股份,10.574386596679688,1381395168,13323330373.35,093644,100353,10.026385307312012,4,是,,汽车零部,
20250923,001234,泰慕士,14.704495429992676,505612144,3637939875.0,094727,094906,9.988931655883789,1,是,,纺织服装,
20250923,002040,南 京 港,10.732268333435059,554557936,5291888179.05,094736,094736,10.0,0,否,,航运港口,
20250923,600798,宁波海运,18.189016342163086,949162800,5332881168.42,095207,130328,9.950248718261719,3,是,,航运港口,
20250923,002674,兴业科技,8.052790641784668,380792384,5005764085.72,100339,100339,10.03215503692627,0,否,,纺织服装,
20250923,603595,东尼电子,15.095661163330078,954348560,6501411858.219999,101252,131022,9.988203048706055,6,是,,消费电子,
